OBJECTID,SMPL_PNT,SMPL_DATE,PRMT_CODE,PRMT_VL,PRMT_ORGN_SIGN
51596,DR01,2019/09/03 09:59:09+00,Nitrate + Nitrite as Nitrogen (MGL),0.148,=
51769,DR01,2019/10/01 00:00:00+00,ammonia (MGL),0.177,=
51786,DR01,2019/04/02 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.172,=
51948,DR01,2019/08/06 09:46:48+00,Nitrate + Nitrite as Nitrogen (MGL),0.209,=
52063,DR01,2019/01/10 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.234,=
52163,DR01,2019/07/02 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.273,=
52377,DR01,2019/04/02 00:00:00+00,Ortho-Phosphate (MGL),0.346,=
52544,DR01,2019/05/07 00:00:00+00,Ortho-Phosphate (MGL),0.4,=
52636,DR01,2019/02/07 10:38:50+00,ammonia (MGL),0.441,=
52660,DR01,2019/11/05 00:00:00+00,ammonia (MGL),0.452,=
53117,DR01,2019/01/10 00:00:00+00,ammonia (MGL),0.647,=
53315,DR01,2019/06/04 00:00:00+00,ammonia (MGL),0.776,=
53378,DR01,2019/04/02 00:00:00+00,Dissolved Oxygen (MGL),0.8,=
54221,DR01,2019/06/04 00:00:00+00,Dissolved Oxygen (MGL),1.4,=
54564,DR01,2019/03/05 00:00:00+00,ammonia (MGL),1.77,=
54844,DR01,2019/05/07 00:00:00+00,Dissolved Oxygen (MGL),2,=
55039,DR01,2019/02/07 10:38:50+00,Dissolved Oxygen (MGL),2.14,=
55284,DR01,2019/03/05 00:00:00+00,Dissolved Oxygen (MGL),2.5,=
55537,DR01,2019/01/10 00:00:00+00,Dissolved Oxygen (MGL),2.9,=
56627,DR01,2019/04/02 00:00:00+00,ammonia (MGL),4.78,=
56639,DR01,2019/12/02 00:00:00+00,Dissolved Oxygen (MGL),4.8,=
56948,DR01,2019/10/01 00:00:00+00,Dissolved Oxygen (MGL),5.5,=
57139,DR01,2019/09/03 09:59:09+00,Suspended Solids 105 C (MGL),6,=
57357,DR01,2019/08/06 09:46:48+00,pH (PH_NONE),6.7,=
57454,DR01,2019/07/02 00:00:00+00,pH (PH_NONE),6.9,=
57459,DR01,2019/10/01 00:00:00+00,pH (PH_NONE),6.9,=
57510,DR01,2019/03/05 00:00:00+00,pH (PH_NONE),7,=
57539,DR01,2019/09/03 09:59:09+00,pH (PH_NONE),7,=
57547,DR01,2019/06/04 00:00:00+00,pH (PH_NONE),7,=
57602,DR01,2019/11/05 00:00:00+00,Dissolved Oxygen (MGL),7,=
57639,DR01,2019/05/07 00:00:00+00,ammonia (MGL),7.08,=
57697,DR01,2019/11/05 00:00:00+00,pH (PH_NONE),7.1,=
57702,DR01,2019/12/02 00:00:00+00,pH (PH_NONE),7.1,=
57739,DR01,2019/02/07 10:38:50+00,pH (PH_NONE),7.2,=
57757,DR01,2019/01/10 00:00:00+00,pH (PH_NONE),7.2,=
57778,DR01,2019/05/07 00:00:00+00,pH (PH_NONE),7.2,=
57880,DR01,2019/04/02 00:00:00+00,pH (PH_NONE),7.3,=
57897,DR01,2019/07/02 00:00:00+00,Dissolved Oxygen (MGL),7.3,=
59109,DR01,2019/04/02 00:00:00+00,Oxygen Saturation (PC),8,=
59154,DR01,2019/07/02 00:00:00+00,Suspended Solids 105 C (MGL),8,=
59659,DR01,2019/08/06 09:46:48+00,Dissolved Oxygen (MGL),8.99,=
60261,DR01,2019/09/03 09:59:09+00,Dissolved Oxygen (MGL),10.16,=
60525,DR01,2019/12/02 00:00:00+00,Suspended Solids 105 C (MGL),11,=
61063,DR01,2019/09/03 09:59:09+00,Temperature (CELSIUS),13.4,=
61101,DR01,2019/07/02 00:00:00+00,Temperature (CELSIUS),13.5,=
61137,DR01,2019/08/06 09:46:48+00,Temperature (CELSIUS),13.8,=
61211,DR01,2019/04/02 00:00:00+00,Suspended Solids 105 C (MGL),14,=
61224,DR01,2019/08/06 09:46:48+00,Conductivity (MSM),14,=
61234,DR01,2019/06/04 00:00:00+00,Oxygen Saturation (PC),14,=
61255,DR01,2019/10/01 00:00:00+00,Suspended Solids 105 C (MGL),14,=
61489,DR01,2019/06/04 00:00:00+00,Temperature (CELSIUS),15,=
61591,DR01,2019/10/01 00:00:00+00,Temperature (CELSIUS),15.1,=
61645,DR01,2019/05/07 00:00:00+00,Temperature (CELSIUS),15.4,=
61879,DR01,2019/04/02 00:00:00+00,Temperature (CELSIUS),16.4,=
62256,DR01,2019/11/05 00:00:00+00,Suspended Solids 105 C (MGL),18,=
62524,DR01,2019/12/02 00:00:00+00,Temperature (CELSIUS),19.4,=
62558,DR01,2019/11/05 00:00:00+00,Temperature (CELSIUS),19.6,=
62715,DR01,2019/05/07 00:00:00+00,Oxygen Saturation (PC),20,=
63125,DR01,2019/08/06 09:46:48+00,Suspended Solids 105 C (MGL),22,=
63221,DR01,2019/03/05 00:00:00+00,Temperature (CELSIUS),22.6,=
63258,DR01,2019/01/10 00:00:00+00,Temperature (CELSIUS),22.8,=
63319,DR01,2019/05/07 00:00:00+00,Suspended Solids 105 C (MGL),23,=
63326,DR01,2019/09/03 09:59:09+00,Conductivity (MSM),23,=
63480,DR01,2019/07/02 00:00:00+00,Conductivity (MSM),24,=
63494,DR01,2019/02/07 10:38:50+00,Temperature (CELSIUS),24.2,=
63725,DR01,2019/02/07 10:38:50+00,Oxygen Saturation (PC),26,=
63972,DR01,2019/03/05 00:00:00+00,Oxygen Saturation (PC),29,=
64242,DR01,2019/03/05 00:00:00+00,Conductivity (MSM),31,=
64416,DR01,2019/01/10 00:00:00+00,Oxygen Saturation (PC),34,=
64630,DR01,2019/11/05 00:00:00+00,Conductivity (MSM),37,=
64955,DR01,2019/10/01 00:00:00+00,Conductivity (MSM),41,=
65123,DR01,2019/12/02 00:00:00+00,Conductivity (MSM),44,=
65165,DR01,2019/06/04 00:00:00+00,Conductivity (MSM),45,=
65227,DR01,2019/02/07 10:38:50+00,Conductivity (MSM),50,=
65374,DR01,2019/10/01 00:00:00+00,Oxygen Saturation (PC),54,=
65408,DR01,2019/05/07 00:00:00+00,Conductivity (MSM),55,=
65482,DR01,2019/04/02 00:00:00+00,Conductivity (MSM),57,=
66094,DR01,2019/01/10 00:00:00+00,Conductivity (MSM),65,=
66403,DR01,2019/07/02 00:00:00+00,Oxygen Saturation (PC),70,=
66728,DR01,2019/11/05 00:00:00+00,Oxygen Saturation (PC),76,=
67243,DR01,2019/08/06 09:46:48+00,Oxygen Saturation (PC),86,=
67723,DR01,2019/09/03 09:59:09+00,Oxygen Saturation (PC),97,=
69141,DR05,2019/02/07 10:52:00+00,Escherichia coli (CFU),140,=
70481,DR05,2019/11/05 00:00:00+00,Escherichia coli (CFU),840,=
70509,DR01,2019/02/07 10:38:37+00,Escherichia coli (CFU),1200,=
70592,DR05,2019/12/02 00:00:00+00,Escherichia coli (CFU),1800,=
70629,DR05,2019/05/07 00:00:00+00,Escherichia coli (CFU),2100,=
70718,DR01,2019/01/10 00:00:00+00,Escherichia coli (CFU),3500,=
70720,DR05,2019/10/01 00:00:00+00,Escherichia coli (CFU),3500,=
70756,DR05,2019/07/02 00:00:00+00,Escherichia coli (CFU),4100,=
70769,DR05,2019/06/04 00:00:00+00,Escherichia coli (CFU),3900,=
70799,DR01,2019/11/05 00:00:00+00,Escherichia coli (CFU),4300,=
70800,DR01,2019/12/02 00:00:00+00,Escherichia coli (CFU),4300,=
70805,DR05,2019/09/03 10:13:30+00,Escherichia coli (CFU),5400,=
70824,DR01,2019/10/01 00:00:00+00,Escherichia coli (CFU),7200,=
70856,DR05,2019/04/02 00:00:00+00,Escherichia coli (CFU),16000,=
70873,DR05,2019/08/06 09:58:54+00,Escherichia coli (CFU),25000,=
70914,DR01,2019/09/03 09:58:56+00,Escherichia coli (CFU),36000,=
70953,DR01,2019/04/02 00:00:00+00,Escherichia coli (CFU),41000,=
71077,DR01,2019/05/07 00:00:00+00,Escherichia coli (CFU),330000,=
71210,DR01,2019/07/02 00:00:00+00,Unionised Ammonia (MGL),0.001,<
71223,DR01,2019/08/06 09:46:48+00,Unionised Ammonia (MGL),0.001,<
71230,DR01,2019/09/03 09:59:09+00,Unionised Ammonia (MGL),0.001,<
71303,DR01,2019/10/01 00:00:00+00,Unionised Ammonia (MGL),0.001,<
71332,DR01,2019/12/02 00:00:00+00,Unionised Ammonia (MGL),0.001,<
71406,DR01,2019/02/07 10:38:50+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
71498,DR01,2019/05/07 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
71551,DR01,2019/10/01 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
72022,DR05,2019/01/10 11:42:00+00,Escherichia coli (CFU),10,<
72044,DR01,2019/06/04 00:00:00+00,Escherichia coli (CFU),100,<
72050,DR01,2019/02/07 10:38:50+00,Suspended Solids 105 C (MGL),5,<
72177,DR01,2019/06/04 00:00:00+00,Suspended Solids 105 C (MGL),5,<
72344,DR01,2019/08/06 09:46:21+00,Escherichia coli (CFU),10000,>
72524,DR01,2020/09/01 00:00:00+00,Unionised Ammonia (MGL),0.001,=
72574,DR01,2020/03/03 00:00:00+00,Unionised Ammonia (MGL),0.003,=
72588,DR01,2020/06/01 00:00:00+00,Unionised Ammonia (MGL),0.002,=
72632,DR01,2020/05/13 00:00:00+00,Unionised Ammonia (MGL),0.004,=
72780,DR01,2020/10/01 00:00:00+00,Unionised Ammonia (MGL),0.008,=
72804,DR01,2020/11/05 00:00:00+00,Unionised Ammonia (MGL),0.011,=
73196,DR01,2020/02/04 00:00:00+00,Unionised Ammonia (MGL),0.032,=
73208,DR01,2020/08/04 00:00:00+00,ammonia (MGL),0.0311,=
73257,DR01,2020/04/08 11:11:14+00,Unionised Ammonia (MGL),0.037,=
73419,DR01,2020/09/01 00:00:00+00,Ortho-Phosphate (MGL),0.053,=
73510,DR01,2020/07/02 00:00:00+00,Ortho-Phosphate (MGL),0.062,=
73628,DR01,2020/04/08 11:11:14+00,Nitrate + Nitrite as Nitrogen (MGL),0.075,=
73670,DR01,2020/08/04 00:00:00+00,Ortho-Phosphate (MGL),0.08,=
73699,DR01,2020/12/07 10:29:00+00,Unionised Ammonia (MGL),0.081,=
73863,DR01,2020/05/13 00:00:00+00,Ortho-Phosphate (MGL),0.103,=
73989,DR01,2020/10/01 00:00:00+00,Ortho-Phosphate (MGL),0.113,=
73999,DR01,2020/06/01 00:00:00+00,Ortho-Phosphate (MGL),0.12,=
74220,DR01,2020/06/01 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.151,=
74594,DR01,2020/09/01 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.214,=
74636,DR01,2020/07/02 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.239,=
74785,DR01,2020/07/02 00:00:00+00,ammonia (MGL),0.272,=
74807,DR01,2020/08/04 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.285,=
74950,DR01,2020/11/05 00:00:00+00,Ortho-Phosphate (MGL),0.332,=
75182,DR01,2020/10/01 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.407,=
75201,DR01,2020/01/02 00:00:00+00,Ortho-Phosphate (MGL),0.426,=
75306,DR01,2020/02/04 00:00:00+00,Ortho-Phosphate (MGL),0.46,=
75576,DR01,2020/06/01 00:00:00+00,ammonia (MGL),0.565,=
75920,DR01,2020/09/01 00:00:00+00,ammonia (MGL),0.742,=
76056,DR01,2020/04/08 11:11:14+00,Ortho-Phosphate (MGL),0.828,=
76248,DR01,2020/12/07 10:29:00+00,Ortho-Phosphate (MGL),0.939,=
76452,DR01,2020/11/05 00:00:00+00,Dissolved Oxygen (MGL),1,=
76934,DR01,2020/04/08 11:11:14+00,Dissolved Oxygen (MGL),1.38,=
77114,DR01,2020/12/07 10:29:00+00,Dissolved Oxygen (MGL),1.49,=
77279,DR01,2020/05/13 00:00:00+00,ammonia (MGL),1.67,=
77326,DR01,2020/03/03 00:00:00+00,Dissolved Oxygen (MGL),1.7,=
77677,DR01,2020/05/13 00:00:00+00,Dissolved Oxygen (MGL),2,=
78071,DR01,2020/10/01 00:00:00+00,ammonia (MGL),2.36,=
78182,DR01,2020/01/02 00:00:00+00,Dissolved Oxygen (MGL),2.5,=
78327,DR01,2020/11/05 00:00:00+00,ammonia (MGL),2.76,=
78432,DR01,2020/02/04 00:00:00+00,Dissolved Oxygen (MGL),2.9,=
79469,DR01,2020/02/04 00:00:00+00,ammonia (MGL),4.55,=
79910,DR01,2020/01/02 00:00:00+00,ammonia (MGL),5.57,=
80335,DR01,2020/03/03 00:00:00+00,pH (PH_NONE),6.7,=
80425,DR01,2020/05/13 00:00:00+00,pH (PH_NONE),6.9,=
80430,DR01,2020/08/04 00:00:00+00,Dissolved Oxygen (MGL),6.9,=
80433,DR01,2020/09/01 00:00:00+00,pH (PH_NONE),6.9,=
80507,DR01,2020/06/01 00:00:00+00,pH (PH_NONE),7,=
80571,DR01,2020/10/01 00:00:00+00,Suspended Solids 105 C (MGL),7,=
80589,DR01,2020/11/05 00:00:00+00,pH (PH_NONE),7,=
80638,DR01,2020/01/02 00:00:00+00,pH (PH_NONE),7.1,=
80646,DR01,2020/04/08 11:11:14+00,pH (PH_NONE),7.1,=
80647,DR01,2020/02/04 00:00:00+00,pH (PH_NONE),7.1,=
80664,DR01,2020/07/02 00:00:00+00,pH (PH_NONE),7.1,=
80678,DR01,2020/10/01 00:00:00+00,pH (PH_NONE),7.1,=
80783,DR01,2020/08/04 00:00:00+00,pH (PH_NONE),7.2,=
80816,DR01,2020/12/07 10:29:00+00,pH (PH_NONE),7.2,=
81743,DR01,2020/06/01 00:00:00+00,Dissolved Oxygen (MGL),7.7,=
82186,DR01,2020/07/02 00:00:00+00,Dissolved Oxygen (MGL),8,=
82387,DR01,2020/04/08 11:11:14+00,ammonia (MGL),8.23,=
82559,DR01,2020/10/01 00:00:00+00,Dissolved Oxygen (MGL),8.5,=
82706,DR01,2020/04/08 11:11:14+00,Suspended Solids 105 C (MGL),9,=
83155,DR01,2020/08/04 00:00:00+00,Suspended Solids 105 C (MGL),10,=
83351,DR01,2020/09/01 00:00:00+00,Dissolved Oxygen (MGL),10.6,=
83472,DR01,2020/11/05 00:00:00+00,Oxygen Saturation (PC),11,=
83593,DR01,2020/09/01 00:00:00+00,Temperature (CELSIUS),11.9,=
83605,DR01,2020/12/07 10:29:00+00,ammonia (MGL),11.8,=
83697,DR01,2020/11/05 00:00:00+00,Suspended Solids 105 C (MGL),12,=
83867,DR01,2020/02/04 00:00:00+00,Suspended Solids 105 C (MGL),13,=
83910,DR01,2020/10/01 00:00:00+00,Temperature (CELSIUS),13,=
83961,DR01,2020/08/04 00:00:00+00,Temperature (CELSIUS),13.3,=
83994,DR01,2020/07/02 00:00:00+00,Temperature (CELSIUS),13.4,=
84074,DR01,2020/04/08 11:11:14+00,Oxygen Saturation (PC),14,=
84339,DR01,2020/07/02 00:00:00+00,Suspended Solids 105 C (MGL),15,=
84594,DR01,2020/12/07 10:29:00+00,Oxygen Saturation (PC),16,=
84602,DR01,2020/05/13 00:00:00+00,Temperature (CELSIUS),16.1,=
84713,DR01,2020/04/08 11:11:14+00,Temperature (CELSIUS),16.9,=
84923,DR01,2020/03/03 00:00:00+00,Oxygen Saturation (PC),18,=
84987,DR01,2020/11/05 00:00:00+00,Temperature (CELSIUS),18.1,=
85000,DR01,2020/06/01 00:00:00+00,Temperature (CELSIUS),18.3,=
85194,DR01,2020/03/03 00:00:00+00,Temperature (CELSIUS),19.3,=
85271,DR01,2020/12/07 10:29:00+00,Temperature (CELSIUS),19.6,=
85350,DR01,2020/05/13 00:00:00+00,Oxygen Saturation (PC),20,=
85370,DR01,2020/09/01 00:00:00+00,Conductivity (MSM),20,=
85515,DR01,2020/01/02 00:00:00+00,Temperature (CELSIUS),20.5,=
85668,DR01,2020/12/07 10:29:00+00,Suspended Solids 105 C (MGL),21,=
85984,DR01,2020/02/04 00:00:00+00,Temperature (CELSIUS),23.2,=
86047,DR01,2020/01/02 00:00:00+00,Suspended Solids 105 C (MGL),24,=
86094,DR01,2020/09/01 00:00:00+00,Suspended Solids 105 C (MGL),24,=
86401,DR01,2020/01/02 00:00:00+00,Oxygen Saturation (PC),28,=
86814,DR01,2020/02/04 00:00:00+00,Oxygen Saturation (PC),34,=
86896,DR01,2020/10/01 00:00:00+00,Conductivity (MSM),35,=
86937,DR01,2020/07/02 00:00:00+00,Conductivity (MSM),36,=
87431,DR01,2020/01/02 00:00:00+00,Conductivity (MSM),46,=
87625,DR01,2020/03/03 00:00:00+00,Conductivity (MSM),56,=
87716,DR01,2020/02/04 00:00:00+00,Conductivity (MSM),58,=
87752,DR01,2020/12/07 10:29:00+00,Conductivity (MSM),58,=
88080,DR01,2020/04/08 11:11:14+00,Conductivity (MSM),63,=
88245,DR01,2020/08/04 00:00:00+00,Oxygen Saturation (PC),66,=
88747,DR01,2020/07/02 00:00:00+00,Oxygen Saturation (PC),76,=
88968,DR01,2020/10/01 00:00:00+00,Oxygen Saturation (PC),80,=
88980,DR05,2020/02/04 00:00:00+00,Escherichia coli (CFU),80,=
89105,DR01,2020/06/01 00:00:00+00,Oxygen Saturation (PC),82,=
89741,DR01,2020/09/01 00:00:00+00,Oxygen Saturation (PC),98,=
92355,DR05,2020/07/02 00:00:00+00,Escherichia coli (CFU),1300,=
92415,DR01,2020/08/04 00:00:00+00,Escherichia coli (CFU),1900,=
92444,DR05,2020/01/02 00:00:00+00,Escherichia coli (CFU),2200,=
92542,DR05,2020/08/04 00:00:00+00,Escherichia coli (CFU),3300,=
92632,DR05,2020/06/01 00:00:00+00,Escherichia coli (CFU),6000,=
92653,DR01,2020/07/02 00:00:00+00,Escherichia coli (CFU),5400,=
92675,DR01,2020/06/01 00:00:00+00,Escherichia coli (CFU),9200,=
92700,DR01,2020/03/03 00:00:00+00,Escherichia coli (CFU),7400,=
92848,DR05,2020/04/08 10:58:19+00,Escherichia coli (CFU),98000,=
92893,DR05,2020/10/01 00:00:00+00,Escherichia coli (CFU),75000,=
92903,DR01,2020/10/01 00:00:00+00,Escherichia coli (CFU),67000,=
92913,DR01,2020/04/08 11:10:50+00,Escherichia coli (CFU),710000,=
93110,DR01,2020/08/04 00:00:00+00,Unionised Ammonia (MGL),0.001,<
93396,DR01,2020/01/02 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
93431,DR01,2020/02/04 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
93462,DR01,2020/03/03 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
93506,DR01,2020/05/13 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
93601,DR01,2020/11/05 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
93616,DR01,2020/12/07 10:29:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
94031,DR01,2020/03/03 00:00:00+00,Suspended Solids 105 C (MGL),5,<
94056,DR01,2020/06/01 00:00:00+00,Suspended Solids 105 C (MGL),5,<
94217,DR01,2020/01/02 00:00:00+00,Escherichia coli (CFU),1000000,>
94232,DR01,2020/02/04 00:00:00+00,Escherichia coli (CFU),100000,>
94235,DR05,2020/03/03 00:00:00+00,Escherichia coli (CFU),100000,>
94248,DR01,2020/09/01 00:00:00+00,Escherichia coli (CFU),100000,>
94254,DR01,2020/11/05 00:00:00+00,Escherichia coli (CFU),100000,>
94255,DR05,2020/11/05 00:00:00+00,Escherichia coli (CFU),100000,>
94263,DR05,2020/09/01 00:00:00+00,Escherichia coli (CFU),10000,>
94273,DR01,2020/12/07 10:28:45+00,Escherichia coli (CFU),1000000,>
94274,DR05,2020/12/07 10:39:01+00,Escherichia coli (CFU),1000000,>
94403,DR01,2021/11/11 00:00:00+00,Unionised Ammonia (MGL),0.002,=
94446,DR01,2021/04/08 00:00:00+00,Unionised Ammonia (MGL),0.004,=
94483,DR01,2021/12/09 00:00:00+00,Unionised Ammonia (MGL),0.003,=
94844,DR01,2021/03/08 00:00:00+00,Unionised Ammonia (MGL),0.028,=
94903,DR01,2021/05/06 00:00:00+00,Unionised Ammonia (MGL),0.036,=
95121,DR01,2021/01/11 09:58:54+00,Nitrate + Nitrite as Nitrogen (MGL),0.064,=
95163,DR01,2021/11/11 00:00:00+00,Ortho-Phosphate (MGL),0.064,=
95277,DR01,2021/01/11 09:58:54+00,Unionised Ammonia (MGL),0.099,=
95290,DR01,2021/05/06 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.092,=
95397,DR01,2021/12/09 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.103,=
95742,DR01,2021/04/08 00:00:00+00,Ortho-Phosphate (MGL),0.158,=
95932,DR01,2021/10/14 00:00:00+00,Ortho-Phosphate (MGL),0.266,=
96273,DR01,2021/11/11 00:00:00+00,ammonia (MGL),0.413,=
96563,DR01,2021/12/09 00:00:00+00,ammonia (MGL),0.572,=
96662,DR01,2021/05/06 00:00:00+00,Ortho-Phosphate (MGL),0.617,=
96806,DR01,2021/03/08 00:00:00+00,Ortho-Phosphate (MGL),0.711,=
96895,DR01,2021/02/08 00:00:00+00,Ortho-Phosphate (MGL),0.792,=
96919,DR01,2021/01/11 09:58:54+00,Ortho-Phosphate (MGL),0.821,=
97319,DR01,2021/02/08 00:00:00+00,Dissolved Oxygen (MGL),1.1,=
97569,DR01,2021/04/08 00:00:00+00,ammonia (MGL),1.34,=
97874,DR01,2021/10/14 00:00:00+00,ammonia (MGL),1.794,=
97888,DR01,2021/12/09 00:00:00+00,Dissolved Oxygen (MGL),1.8,=
98062,DR01,2021/05/06 00:00:00+00,Dissolved Oxygen (MGL),2,=
98174,DR01,2021/03/08 00:00:00+00,Dissolved Oxygen (MGL),2.1,=
98228,DR01,2021/11/11 00:00:00+00,Dissolved Oxygen (MGL),2.2,=
98230,DR01,2021/01/11 09:58:54+00,Dissolved Oxygen (MGL),2.21,=
98677,DR01,2021/04/08 00:00:00+00,Dissolved Oxygen (MGL),3,=
99135,DR01,2021/10/14 00:00:00+00,Dissolved Oxygen (MGL),4,=
99472,DR01,2021/03/08 00:00:00+00,Suspended Solids 105 C (MGL),5,=
99522,DR01,2021/11/11 00:00:00+00,Suspended Solids 105 C (MGL),5,=
99918,DR01,2021/03/08 00:00:00+00,ammonia (MGL),6.4,=
100052,DR01,2021/04/08 00:00:00+00,pH (PH_NONE),6.8,=
100062,DR01,2021/07/01 00:00:00+00,pH (PH_NONE),6.8,=
100104,DR01,2021/06/03 00:00:00+00,pH (PH_NONE),6.9,=
100114,DR01,2021/08/05 00:00:00+00,Dissolved Oxygen (MGL),6.9,=
100137,DR01,2021/05/06 00:00:00+00,ammonia (MGL),6.95,=
100336,DR01,2021/02/08 00:00:00+00,pH (PH_NONE),7.1,=
100352,DR01,2021/08/05 00:00:00+00,pH (PH_NONE),7.1,=
100363,DR01,2021/11/11 00:00:00+00,pH (PH_NONE),7.1,=
100369,DR01,2021/12/09 00:00:00+00,pH (PH_NONE),7.1,=
100437,DR01,2021/01/11 09:58:54+00,pH (PH_NONE),7.2,=
100459,DR01,2021/05/06 00:00:00+00,pH (PH_NONE),7.2,=
100487,DR01,2021/09/02 00:00:00+00,pH (PH_NONE),7.2,=
100501,DR01,2021/10/14 00:00:00+00,pH (PH_NONE),7.2,=
102911,DR01,2021/09/02 00:00:00+00,Dissolved Oxygen (MGL),9.1,=
103124,DR01,2021/07/01 00:00:00+00,Dissolved Oxygen (MGL),9.8,=
103289,DR01,2021/06/03 00:00:00+00,Suspended Solids 105 C (MGL),10,=
103362,DR01,2021/12/09 00:00:00+00,Suspended Solids 105 C (MGL),10,=
103509,DR01,2021/02/08 00:00:00+00,ammonia (MGL),10.5,=
103770,DR01,2021/01/11 09:58:54+00,ammonia (MGL),11.6,=
103947,DR01,2021/09/02 00:00:00+00,Temperature (CELSIUS),12.4,=
104056,DR01,2021/02/08 00:00:00+00,Oxygen Saturation (PC),13,=
104115,DR01,2021/10/14 00:00:00+00,Suspended Solids 105 C (MGL),13,=
104316,DR01,2021/07/01 00:00:00+00,Temperature (CELSIUS),13.8,=
104347,DR01,2021/06/03 00:00:00+00,Temperature (CELSIUS),14,=
104838,DR01,2021/08/05 00:00:00+00,Temperature (CELSIUS),15.5,=
104859,DR01,2021/05/06 00:00:00+00,Temperature (CELSIUS),15.8,=
105366,DR01,2021/11/11 00:00:00+00,Temperature (CELSIUS),18.5,=
