enterococci_cfu_per_100ml,site_id,sample_time,sample_date,analysis_completed,sample_temp_c,filename
1,CS30,NA,2024-10-16,2024-10-18,8.9,2024-10-16 Strand WALAB.pdf
1,CS31,NA,2024-10-30,2024-11-01,7.4,2024-10-30 Strand WALAB.pdf
1,CS31,NA,2024-11-20,2024-11-22,11,2024-11-20 Strand WALAB.pdf
1,CS31,NA,2024-11-22,2024-11-24,6,2024-11-22 Strand WALAB.pdf
1,CS30,NA,2024-11-29,2024-12-01,4.8,2024-11-29 Strand WALAB.pdf
1,CS31,NA,2024-12-06,2024-12-08,5.1,2024-12-06 Strand WALAB.pdf
1,CS31,NA,2024-12-09,2024-12-11,7,2024-12-09 Strand WALAB.pdf
1,CS31,NA,2024-12-19,2024-12-21,8.8,2024-12-19 Strand WALAB.pdf
1,CS30,07:28,2025-01-22,2025-01-24,9.1,2025-01-22 Strand WALAB.pdf
1,CS31,08:16,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
1,CS30,08:15,2025-03-18,2025-03-20,7.1,2025-03-18 Strand WALAB.pdf
1,CS30,08:28,2025-03-19,2025-03-21,6.8,2025-03-19 Strand WALAB.pdf
10,CS30,NA,2024-10-18,2024-10-20,8.6,2024-10-18 Strand WALAB.pdf
10,CS30,08:31,2025-03-25,2025-03-27,6.5,2025-03-25 Strand WALAB.pdf
104,CS31,08:13,2025-02-07,2025-02-09,4.3,2025-02-07 Strand WALAB.pdf
105,CS30,NA,2024-10-07,2024-10-09,11,2024-10-07 Strand WALAB.pdf
11,CS31,NA,2024-10-24,2024-10-26,10.1,2024-10-24 Strand WALAB.pdf
11,CS31,NA,2024-11-13,2024-11-15,5.5,2024-11-13 Strand WALAB.pdf
11,CS31,12:12,2025-02-18,2025-02-20,6.2,2025-02-18 Strand WALAB.pdf
11,CS30,12:32,2025-02-25,2025-02-27,6.1,2025-02-25 Strand WALAB.pdf
11,CS31,08:20,2025-03-17,2025-03-19,6.7,2025-03-17 Strand WALAB.pdf
113,CS31,08:59,2025-02-11,2025-02-13,5.5,2025-02-11 Strand WALAB.pdf
12,CS31,NA,2024-10-11,2024-10-13,9,2024-10-11 Strand WALAB.pdf
12,CS30,NA,2024-11-05,2024-11-07,4.1,2024-11-05 Strand WALAB.pdf
12,CS31,NA,2024-11-07,2024-11-09,4.5,2024-11-07 Strand WALAB.pdf
12,CS30,NA,2024-12-05,2024-12-07,4.4,2024-12-05 Strand WALAB.pdf
12,CS31,NA,2024-12-18,2024-12-20,7.8,2024-12-18 Strand WALAB.pdf.pdf
12,CS30,09:05,2025-01-27,2025-01-29,7.3,2025-01-27 Strand WALAB.pdf
12,CS30,08:13,2025-02-17,2025-02-19,5.7,2025-02-17 Strand WALAB.pdf
12,CS31,08:56,2025-03-10,2025-03-12,7.3,2025-03-10 Strand WALAB.pdf
120,CS30,NA,2024-10-17,2024-10-19,7,2024-10-17 Strand WALAB.pdf
13,CS31,07:22,2025-01-13,2025-01-15,6,2025-01-13 Strand WALAB.pdf.pdf
13,CS30,08:22,2025-01-23,2025-01-25,6.5,2025-01-23 Strand WALAB.pdf
13,CS31,08:25,2025-02-12,2025-02-14,5.7,2025-02-12 Strand WALAB.pdf
131,CS30,NA,2024-10-01,2024-10-03,6.7,2024-10-01 Strand WALAB.pdf
136,CS31,NA,2024-10-07,2024-10-09,11,2024-10-07 Strand WALAB.pdf
14,CS30,NA,2024-11-08,2024-11-10,4.6,2024-11-08 Strand WALAB.pdf
14,CS31,08:15,2025-01-23,2025-01-25,6.5,2025-01-23 Strand WALAB.pdf
14,CS31,12:35,2025-02-17,2025-02-19,5.7,2025-02-17 Strand WALAB.pdf
14,CS31,09:13,2025-03-28,2025-03-30,6.6,2025-03-28 Strand WALAB.pdf
140,CS31,NA,2024-10-01,2024-10-03,6.7,2024-10-01 Strand WALAB.pdf
142,CS30,NA,2024-10-09,2024-10-11,10.1,2024-10-09 Strand WALAB.pdf
15,CS30,NA,2024-11-04,2024-11-06,9,2024-11-04 Strand WALAB.pdf
15,CS30,NA,2024-12-03,2024-12-05,8.1,2024-12-03 Strand WALAB.pdf
15,CS31,08:25,2025-01-29,2025-01-31,8.9,2025-01-29 Strand WALAB.pdf
15,CS30,08:48,2025-03-27,2025-03-29,4.6,2025-03-27 Strand WALAB.pdf
16,CS30,08:16,2025-01-31,2025-02-02,8,2025-01-31 Strand WALAB.pdf
16,CS31,13:14,2025-02-14,2025-02-16,4.2,2025-02-14 Strand WALAB.pdf
16,CS31,08:49,2025-02-28,2025-03-02,6.9,2025-02-28 Strand WALAB.pdf
162,CS30,06:48,2025-01-15,2025-01-17,7.4,2025-01-15 Strand WALAB.pdf
17,CS30,NA,2024-09-23,2024-09-25,7.6,2024-09-23 Strand WALAB.pdf
17,CS31,NA,2024-10-09,2024-10-11,10.1,2024-10-09 Strand WALAB.pdf
17,CS31,08:23,2025-02-18,2025-02-20,6.2,2025-02-18 Strand WALAB.pdf
17,CS30,08:21,2025-02-27,2025-03-01,7.3,2025-02-27 Strand WALAB.pdf
17,CS30,08:58,2025-04-01,2025-04-03,6.3,2025-04-01 Strand WALAB.pdf
170,CS31,NA,2024-10-02,2024-10-04,6.2,2024-10-02 Strand WALAB.pdf
18,CS30,NA,2024-10-25,2024-10-27,9,2024-10-25 Strand WALAB.pdf
18,CS30,NA,2024-10-29,2024-10-31,10.2,2024-10-29 Strand WALAB.pdf
18,CS30,NA,2024-11-06,2024-11-08,4.4,2024-11-06 Strand WALAB.pdf
18,CS30,08:32,2025-01-24,2025-01-26,8,2025-01-24 Strand WALAB.pdf
18,CS30,08:15,2025-02-03,2025-02-05,8.2,2025-02-03 Strand WALAB.pdf
187,CS30,NA,2024-10-02,2024-10-04,6.2,2024-10-02 Strand WALAB.pdf
19,CS31,NA,2024-09-27,2024-09-29,5.5,2024-09-27 Strand WALAB.pdf
19,CS30,NA,2024-12-12,2024-12-14,10.9,2024-12-12 Strand WALAB.pdf.pdf
19,CS31,NA,2024-12-20,2024-12-22,6.9,2024-12-20 Strand WALAB.pdf
19,CS30,07:38,2025-01-14,2025-01-16,6.5,2025-01-14 Strand WALAB.pdf
19,CS30,12:15,2025-02-24,2025-02-26,6.1,2025-02-24 Strand WALAB.pdf
19,CS31,08:28,2025-03-11,2025-03-13,6.8,2025-03-11 Strand WALAB.pdf
19,CS30,08:14,2025-03-12,2025-03-14,6.6,2025-03-12 Strand WALAB.pdf
19,CS30,09:35,2025-03-24,2025-03-26,5.3,2025-03-24 Strand WALAB.pdf
2,CS31,NA,2024-10-16,2024-10-18,8.9,2024-10-16 Strand WALAB.pdf
2,CS31,NA,2024-10-23,2024-10-25,9.2,2024-10-23_WALAB_Strand.pdf
2,CS31,NA,2024-11-15,2024-11-17,4.7,2024-11-15 Strand WALAB.pdf
2,CS30,NA,2024-11-18,2024-11-20,6,2024-11-18 Strand WALAB.pdf
2,CS31,NA,2024-11-19,2024-11-21,9.5,2024-11-19 Strand WALAB.pdf
2,CS30,NA,2024-11-20,2024-11-22,11,2024-11-20 Strand WALAB.pdf
2,CS31,NA,2024-11-21,2024-11-23,3.6,2024-11-21 Strand WALAB.pdf
2,CS30,NA,2024-11-22,2024-11-24,6,2024-11-22 Strand WALAB.pdf
2,CS30,NA,2024-11-28,2024-11-30,6.5,2024-11-28 Strand WALAB.pdf
2,CS31,NA,2024-11-29,2024-12-01,4.8,2024-11-29 Strand WALAB.pdf
2,CS30,NA,2024-12-02,2024-12-04,8,2024-12-02 Strand WALAB.pdf
2,CS30,NA,2024-12-19,2024-12-21,8.8,2024-12-19 Strand WALAB.pdf
2,CS31,08:47,2025-01-20,2025-01-22,7.2,2025-01-20 Strand WALAB.pdf
2,CS31,09:00,2025-01-21,2025-01-23,8.4,2025-01-21 Strand WALAB.pdf
2,CS31,07:38,2025-01-22,2025-01-24,9.1,2025-01-22 Strand WALAB.pdf
2,CS30,13:20,2025-02-26,2025-02-28,6.2,2025-02-26 Strand WALAB.pdf
2,CS30,08:24,2025-03-04,2025-03-06,6.9,2025-03-04 Strand WALAB.pdf
2,CS30,08:21,2025-03-07,2025-03-09,6.8,2025-03-07 Strand WALAB.pdf
2,CS31,08:35,2025-03-19,2025-03-21,6.8,2025-03-19 Strand WALAB.pdf
2,CS31,08:18,2025-03-20,2025-03-22,6.4,2025-03-20 Strand WALAB.pdf
2,CS30,08:10,2025-03-26,2025-03-28,6.1,2025-03-26 Strand WALAB.pdf
20,CS30,08:19,2025-02-14,2025-02-16,4.2,2025-02-14 Strand WALAB.pdf
21,CS30,NA,2024-12-17,2024-12-19,6,2024-12-17 Strand WALAB.pdf.pdf
21,CS30,08:12,2025-02-18,2025-02-20,6.2,2025-02-18 Strand WALAB.pdf
216,CS30,NA,2024-10-10,2024-10-12,9.4,2024-10-10 Strand WALAB.pdf
22,CS30,NA,2024-11-07,2024-11-09,4.5,2024-11-07 Strand WALAB.pdf
22,CS31,NA,2024-11-11,2024-11-13,8,2024-11-11 Strand WALAB.pdf
22,CS31,08:24,2025-02-04,2025-02-06,8,2025-02-04 Strand WALAB.pdf
22,CS30,08:45,2025-03-10,2025-03-12,7.3,2025-03-10 Strand WALAB.pdf
224,CS30,08:17,2025-02-10,2025-02-12,5.6,2025-02-10 Strand WALAB.pdf
23,CS31,09:13,2025-01-27,2025-01-29,7.3,2025-01-27 Strand WALAB.pdf
23,CS30,08:24,2025-03-14,2025-03-16,6.9,2025-03-14 Strand WALAB.pdf
24,CS30,12:55,2025-02-13,2025-02-15,3.9,2025-02-13 Strand WALAB.pdf
25,CS30,NA,2024-11-14,2024-11-16,7.3,2024-11-14 Strand WALAB.pdf
25,CS31,08:30,2025-02-26,2025-02-28,6.2,2025-02-26 Strand WALAB.pdf
26,CS31,NA,2024-09-25,2024-09-27,4.9,2024-09-25 Strand WALAB.pdf
26,CS31,08:46,2025-01-16,2025-01-18,9.4,2025-01-16 Strand WALAB.pdf
26,CS31,08:40,2025-03-25,2025-03-27,6.5,2025-03-25 Strand WALAB.pdf
27,CS31,NA,2024-11-05,2024-11-07,4.1,2024-11-05 Strand WALAB.pdf
27,CS31,08:22,2025-02-17,2025-02-19,5.7,2025-02-17 Strand WALAB.pdf
28,CS31,NA,2024-10-04,2024-10-06,9.2,2024-10-04 Strand WALAB.pdf
28,CS31,13:14,2025-02-13,2025-02-15,3.9,2025-02-13 Strand WALAB.pdf
29,CS30,NA,2024-11-01,2024-11-03,6.5,2024-11-01 Strand WALAB.pdf
29,CS30,NA,2024-11-26,2024-11-28,4,2024-11-26 Strand WALAB.pdf
29,CS31,08:25,2025-01-24,2025-01-26,8,2025-01-24 Strand WALAB.pdf
29,CS30,08:16,2025-02-04,2025-02-06,8,2025-02-04 Strand WALAB.pdf
29,CS30,08:23,2025-02-19,2025-02-21,6.3,2025-02-19 Strand WALAB.pdf
29,CS31,08:24,2025-02-25,2025-02-27,6.1,2025-02-25 Strand WALAB.pdf
29,CS30,08:19,2025-02-26,2025-02-28,6.2,2025-02-26 Strand WALAB.pdf
3,CS31,NA,2024-09-23,2024-09-25,7.6,2024-09-23 Strand WALAB.pdf
3,CS31,NA,2024-10-21,2024-10-23,9.2,2024-10-21 Strand WALAB.pdf
3,CS31,NA,2024-11-06,2024-11-08,4.4,2024-11-06 Strand WALAB.pdf
3,CS30,NA,2024-11-15,2024-11-17,4.7,2024-11-15 Strand WALAB.pdf
3,CS31,NA,2024-12-04,2024-12-06,8.8,2024-12-04 Strand WALAB.pdf
3,CS30,NA,2024-12-20,2024-12-22,6.9,2024-12-20 Strand WALAB.pdf
3,CS30,08:52,2025-01-21,2025-01-23,8.4,2025-01-21 Strand WALAB.pdf
3,CS30,12:35,2025-02-19,2025-02-21,6.3,2025-02-19 Strand WALAB.pdf
3,CS31,08:05,2025-02-21,2025-02-23,7.2,2025-02-21 Strand WALAB.pdf
3,CS31,09:05,2025-03-03,2025-03-05,7.9,2025-03-03 Strand WALAB.pdf
3,CS31,08:25,2025-03-18,2025-03-20,7.1,2025-03-18 Strand WALAB.pdf
3,CS30,08:03,2025-03-20,2025-03-22,6.4,2025-03-20 Strand WALAB.pdf
30,CS30,NA,2024-10-04,2024-10-06,9.2,2024-10-04 Strand WALAB.pdf
30,CS30,08:37,2025-01-16,2025-01-18,9.4,2025-01-16 Strand WALAB.pdf
30,CS31,08:34,2025-03-14,2025-03-16,6.9,2025-03-14 Strand WALAB.pdf
31,CS31,NA,2024-09-26,2024-09-28,8.4,2024-09-26 Strand WALAB.pdf
31,CS31,NA,2024-11-12,2024-11-14,5.2,2024-11-12 Strand WALAB.pdf
31,CS31,NA,2024-12-12,2024-12-14,10.9,2024-12-12 Strand WALAB.pdf.pdf
31,CS31,09:11,2025-03-31,2025-04-02,6.2,2025-03-31 Strand WALAB.pdf
32,CS31,NA,2024-11-14,2024-11-16,7.3,2024-11-14 Strand WALAB.pdf
32,CS30,NA,2024-11-27,2024-11-29,6.7,2024-11-27 Strand WALAB.pdf
32,CS31,NA,2024-12-17,2024-12-19,6,2024-12-17 Strand WALAB.pdf.pdf
32,CS31,08:24,2025-02-03,2025-02-05,8.2,2025-02-03 Strand WALAB.pdf
32,CS31,08:30,2025-02-14,2025-02-16,4.2,2025-02-14 Strand WALAB.pdf
320,CS31,NA,2024-09-30,2024-10-02,5.1,2024-09-30 Strand WALAB.pdf
33,CS30,09:05,2025-03-28,2025-03-30,6.6,2025-03-28 Strand WALAB.pdf
34,CS31,NA,2024-11-26,2024-11-28,4,2024-11-26 Strand WALAB.pdf
34,CS30,08:19,2025-02-13,2025-02-15,3.9,2025-02-13 Strand WALAB.pdf
35,CS31,08:26,2025-02-24,2025-02-26,6.1,2025-02-24 Strand WALAB.pdf
36,CS31,08:32,2025-02-27,2025-03-01,7.3,2025-02-27 Strand WALAB.pdf
360,CS31,NA,2024-10-28,2024-10-30,8.5,2024-10-28 Strand WALAB.pdf
39,CS30,NA,2024-10-22,2024-10-24,9.7,2024-10-22 Strand WALAB.pdf
39,CS30,08:36,2025-02-28,2025-03-02,6.9,2025-02-28 Strand WALAB.pdf
39,CS31,08:25,2025-03-12,2025-03-14,6.6,2025-03-12 Strand WALAB.pdf
4,CS31,NA,2024-10-14,2024-10-16,6,2024-10-14 Strand WALAB.pdf
4,CS30,NA,2024-10-30,2024-11-01,7.4,2024-10-30 Strand WALAB.pdf
4,CS30,NA,2024-11-19,2024-11-21,9.5,2024-11-19 Strand WALAB.pdf
4,CS31,NA,2024-11-25,2024-11-27,4.5,2024-11-25 Strand WALAB.pdf
4,CS30,NA,2024-12-04,2024-12-06,8.8,2024-12-04 Strand WALAB.pdf
4,CS31,NA,2024-12-10,2024-12-12,5,2024-12-10 Strand WALAB.pdf
4,CS31,08:53,2025-01-17,2025-01-19,8,2025-01-17 Strand WALAB.pdf
4,CS31,08:30,2025-01-30,2025-02-01,7.5,2025-01-30 Strand WALAB.pdf
4,CS30,12:00,2025-02-18,2025-02-20,6.2,2025-02-18 Strand WALAB.pdf
4,CS31,12:34,2025-02-24,2025-02-26,6.1,2025-02-24 Strand WALAB.pdf
4,CS31,13:35,2025-02-26,2025-02-28,6.2,2025-02-26 Strand WALAB.pdf
4,CS31,08:32,2025-03-04,2025-03-06,6.9,2025-03-04 Strand WALAB.pdf
4,CS30,08:20,2025-03-06,2025-03-08,7.1,2025-03-06 Strand WALAB.pdf
4,CS31,09:06,2025-04-01,2025-04-03,6.3,2025-04-01 Strand WALAB.pdf
40,CS30,NA,2024-09-25,2024-09-27,4.9,2024-09-25 Strand WALAB.pdf
40,CS30,NA,2024-10-23,2024-10-25,9.2,2024-10-23_WALAB_Strand.pdf
41,CS30,09:00,2025-03-31,2025-04-02,6.2,2025-03-31 Strand WALAB.pdf
42,CS31,08:56,2025-03-27,2025-03-29,4.6,2025-03-27 Strand WALAB.pdf
420,CS30,08:18,2025-02-05,2025-02-07,6.2,2025-02-05 Strand WALAB.pdf
43,CS30,NA,2024-11-25,2024-11-27,4.5,2024-11-25 Strand WALAB.pdf
43,CS31,08:32,2025-02-19,2025-02-21,6.3,2025-02-19 Strand WALAB.pdf
45,CS30,NA,2024-11-12,2024-11-14,5.2,2024-11-12 Strand WALAB.pdf
45,CS30,08:17,2025-02-24,2025-02-26,6.1,2025-02-24 Strand WALAB.pdf
45,CS31,09:46,2025-03-24,2025-03-26,5.3,2025-03-24 Strand WALAB.pdf
450,CS31,08:29,2025-02-10,2025-02-12,5.6,2025-02-10 Strand WALAB.pdf
47,CS31,NA,2024-10-10,2024-10-12,9.4,2024-10-10 Strand WALAB.pdf
47,CS30,08:13,2025-02-25,2025-02-27,6.1,2025-02-25 Strand WALAB.pdf
49,CS30,NA,2024-09-26,2024-09-28,8.4,2024-09-26 Strand WALAB.pdf
5,CS31,NA,2024-10-29,2024-10-31,10.2,2024-10-29 Strand WALAB.pdf
5,CS30,NA,2024-11-11,2024-11-13,8,2024-11-11 Strand WALAB.pdf
5,CS30,NA,2024-11-21,2024-11-23,3.6,2024-11-21 Strand WALAB.pdf
5,CS31,NA,2024-12-02,2024-12-04,8,2024-12-02 Strand WALAB.pdf
5,CS30,NA,2024-12-06,2024-12-08,5.1,2024-12-06 Strand WALAB.pdf
5,CS30,NA,2024-12-10,2024-12-12,5,2024-12-10 Strand WALAB.pdf
5,CS30,08:42,2025-01-28,2025-01-30,8.5,2025-01-28 Strand WALAB.pdf
5,CS30,08:57,2025-03-03,2025-03-05,7.9,2025-03-03 Strand WALAB.pdf
5,CS31,08:22,2025-03-26,2025-03-28,6.1,2025-03-26 Strand WALAB.pdf
50,CS31,08:33,2025-03-13,2025-03-15,7.2,2025-03-13 Strand WALAB.pdf
52,CS30,NA,2024-10-21,2024-10-23,9.2,2024-10-21 Strand WALAB.pdf
53,CS31,NA,2024-10-03,2024-10-05,10.7,2024-10-03 Strand WALAB.pdf
53,CS31,08:28,2025-02-13,2025-02-15,3.9,2025-02-13 Strand WALAB.pdf
54,CS31,07:05,2025-01-15,2025-01-17,7.4,2025-01-15 Strand WALAB.pdf
56,CS31,NA,2024-11-27,2024-11-29,6.7,2024-11-27 Strand WALAB.pdf
58,CS30,08:21,2025-02-07,2025-02-09,4.3,2025-02-07 Strand WALAB.pdf
6,CS31,NA,2024-10-18,2024-10-20,8.6,2024-10-18 Strand WALAB.pdf
6,CS31,NA,2024-10-22,2024-10-24,9.7,2024-10-22 Strand WALAB.pdf
6,CS31,NA,2024-11-01,2024-11-03,6.5,2024-11-01 Strand WALAB.pdf
6,CS31,NA,2024-11-28,2024-11-30,6.5,2024-11-28 Strand WALAB.pdf
6,CS31,NA,2024-12-05,2024-12-07,4.4,2024-12-05 Strand WALAB.pdf
6,CS30,09:01,2025-01-17,2025-01-19,8,2025-01-17 Strand WALAB.pdf
6,CS30,08:40,2025-01-20,2025-01-22,7.2,2025-01-20 Strand WALAB.pdf
6,CS30,08:20,2025-01-30,2025-02-01,7.5,2025-01-30 Strand WALAB.pdf
6,CS30,08:16,2025-02-12,2025-02-14,5.7,2025-02-12 Strand WALAB.pdf
6,CS30,12:25,2025-02-17,2025-02-19,5.7,2025-02-17 Strand WALAB.pdf
6,CS31,12:23,2025-02-19,2025-02-21,6.3,2025-02-19 Strand WALAB.pdf
6,CS31,12:18,2025-02-25,2025-02-27,6.1,2025-02-25 Strand WALAB.pdf
6,CS31,08:29,2025-03-07,2025-03-09,6.8,2025-03-07 Strand WALAB.pdf
6,CS30,08:12,2025-03-17,2025-03-19,6.7,2025-03-17 Strand WALAB.pdf
61,CS30,NA,2024-12-13,2024-12-15,4,2024-12-13 Strand WALAB.pdf.pdf
65,CS30,NA,2024-10-15,2024-10-17,9.2,2024-10-15 Strand WALAB.pdf
65,CS30,08:22,2025-03-13,2025-03-15,7.2,2025-03-13 Strand WALAB.pdf
650,CS31,08:27,2025-02-05,2025-02-07,6.2,2025-02-05 Strand WALAB.pdf
660,CS30,NA,2024-09-30,2024-10-02,5.1,2024-09-30 Strand WALAB.pdf
67,CS30,NA,2024-09-27,2024-09-29,5.5,2024-09-27 Strand WALAB.pdf
7,CS31,NA,2024-10-08,2024-10-10,10.6,2024-10-08 Strand WALAB.pdf
7,CS31,NA,2024-10-25,2024-10-27,9,2024-10-25 Strand WALAB.pdf
7,CS30,NA,2024-11-13,2024-11-15,5.5,2024-11-13 Strand WALAB.pdf
7,CS31,NA,2024-11-18,2024-11-20,6,2024-11-18 Strand WALAB.pdf
7,CS30,NA,2024-12-09,2024-12-11,7,2024-12-09 Strand WALAB.pdf
7,CS30,08:17,2025-01-29,2025-01-31,8.9,2025-01-29 Strand WALAB.pdf
7,CS31,08:24,2025-01-31,2025-02-02,8,2025-01-31 Strand WALAB.pdf
7,CS30,08:17,2025-03-11,2025-03-13,6.8,2025-03-11 Strand WALAB.pdf
70,CS30,NA,2024-10-03,2024-10-05,10.7,2024-10-03 Strand WALAB.pdf
71,CS31,NA,2024-10-15,2024-10-17,9.2,2024-10-15 Strand WALAB.pdf
74,CS31,08:34,2025-02-06,2025-02-08,4.4,2025-02-06 Strand WALAB.pdf
780,CS30,NA,2024-10-28,2024-10-30,8.5,2024-10-28 Strand WALAB.pdf
79,CS30,NA,2024-10-24,2024-10-26,10.1,2024-10-24 Strand WALAB.pdf
8,CS31,NA,2024-11-04,2024-11-06,9,2024-11-04 Strand WALAB.pdf
8,CS31,NA,2024-12-03,2024-12-05,8.1,2024-12-03 Strand WALAB.pdf
8,CS31,07:46,2025-01-14,2025-01-16,6.5,2025-01-14 Strand WALAB.pdf
8,CS31,08:51,2025-01-28,2025-01-30,8.5,2025-01-28 Strand WALAB.pdf
8,CS30,12:58,2025-02-14,2025-02-16,4.2,2025-02-14 Strand WALAB.pdf
8,CS31,08:30,2025-03-06,2025-03-08,7.1,2025-03-06 Strand WALAB.pdf
80,CS31,NA,2024-10-17,2024-10-19,7,2024-10-17 Strand WALAB.pdf
83,CS30,NA,2024-10-08,2024-10-10,10.6,2024-10-08 Strand WALAB.pdf
84,CS31,NA,2024-12-13,2024-12-15,4,2024-12-13 Strand WALAB.pdf.pdf
85,CS30,08:50,2025-02-11,2025-02-13,5.5,2025-02-11 Strand WALAB.pdf
9,CS30,NA,2024-10-14,2024-10-16,6,2024-10-14 Strand WALAB.pdf
9,CS31,NA,2024-11-08,2024-11-10,4.6,2024-11-08 Strand WALAB.pdf
9,CS30,NA,2024-12-18,2024-12-20,7.8,2024-12-18 Strand WALAB.pdf.pdf
9,CS30,07:16,2025-01-13,2025-01-15,6,2025-01-13 Strand WALAB.pdf.pdf
90,CS30,NA,2024-10-11,2024-10-13,9,2024-10-11 Strand WALAB.pdf
91,CS30,08:25,2025-02-06,2025-02-08,4.4,2025-02-06 Strand WALAB.pdf
ND,CS30,NA,2024-10-31,2024-11-02,9.3,2024-10-31 Strand WALAB.pdf
ND,CS31,NA,2024-10-31,2024-11-02,9.3,2024-10-31 Strand WALAB.pdf
ND,CS30,08:26,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
ND,CS30,12:45,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
ND,CS31,12:30,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
ND,CS30,07:55,2025-02-21,2025-02-23,7.2,2025-02-21 Strand WALAB.pdf
ND,CS30,12:48,2025-02-21,2025-02-23,7.2,2025-02-21 Strand WALAB.pdf
ND,CS31,12:35,2025-02-21,2025-02-23,7.2,2025-02-21 Strand WALAB.pdf
