sample_date,date_received,site_description,site_id,sample_time,enterococci_cfu_per_100ml
2024-06-04,2024-06-04,Camps Bay In front of Lifesaving Tower,ICS12,11:21:00,>150
2024-06-05,2024-06-05,Camps Bay In front of Lifesaving Tower,ICS12,09:26:00,5
2024-06-06,2024-06-06,Camps Bay In front of Lifesaving Tower,ICS12,10:50:00,24
2024-06-07,2024-06-07,Camps Bay In front of Lifesaving Tower,ICS12,NA,2
2024-06-10,2024-06-10,Camps Bay In front of Lifesaving Tower,ICS12,09:32:00,7
2024-06-11,2024-06-11,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,ND
2024-06-12,2024-06-12,Camps Bay In front of Lifesaving Tower,ICS12,09:14:00,13
2024-06-12,2024-06-12,Camps Bay In front of Lifesaving Tower,ICS12,10:40:00,6
2024-06-12,2024-06-12,Camps Bay In front of Lifesaving Tower,ICS12,10:46:00,78
2024-06-13,2024-06-13,Camps Bay In front of Lifesaving Tower,ICS12,NA,39
2024-06-14,2024-06-14,Camps Bay In front of Lifesaving Tower,ICS12,NA,14
2024-06-19,2024-06-19,Camps Bay In front of Lifesaving Tower,ICS12,NA,108
2024-06-20,2024-06-20,Camps Bay In front of Lifesaving Tower,ICS12,NA,6
2024-06-24,2024-06-24,Camps Bay In front of Lifesaving Tower,ICS12,10:15:00,23
2024-06-25,2024-06-25,Camps Bay In front of Lifesaving Tower,ICS12,07:50:00,41
2024-06-26,2024-06-26,Camps Bay In front of Lifesaving Tower,ICS12,10:20:00,3
2024-06-27,2024-06-27,Camps Bay In front of Lifesaving Tower,ICS12,09:30:00,7
2024-06-28,2024-06-28,Camps Bay In front of Lifesaving Tower,ICS12,10:57:00,>150
2024-07-01,2024-07-01,Camps Bay In front of Lifesaving Tower,ICS12,NA,13
2024-07-03,2024-07-03,Camps Bay In front of Lifesaving Tower,ICS12,NA,>150
2024-07-04,2024-07-04,Camps Bay In front of Lifesaving Tower,ICS12,10:42:00,38
2024-07-05,2024-07-05,Camps Bay In front of Lifesaving Tower,ICS12,10:00:00,46
2024-07-08,2024-07-08,Camps Bay In front of Lifesaving Tower,ICS12,NA,107
2024-07-09,2024-07-09,Camps Bay In front of Lifesaving Tower,ICS12,NA,>150
2024-07-10,2024-07-10,Camps Bay In front of Lifesaving Tower,ICS12,09:45:00,88
2024-07-12,2024-07-12,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,67
2024-07-12,2024-07-12,Camps Bay In front of Lifesaving Tower,ICS12,12:40:00,76
2024-07-15,2024-07-15,Camps Bay In front of Lifesaving Tower,ICS12,10:40:00,63
2024-07-16,2024-07-16,Camps Bay In front of Lifesaving Tower,ICS12,NA,40
2024-07-17,2024-07-17,Camps Bay In front of Lifesaving Tower,ICS12,NA,24
2024-07-18,2024-07-18,Camps Bay In front of Lifesaving Tower,ICS12,11:30:00,84
2024-07-19,2024-07-19,Camps Bay In front of Lifesaving Tower,ICS12,NA,38
2024-07-22,2024-07-22,Camps Bay In front of Lifesaving Tower,ICS12,11:15:00,ND
2024-07-23,2024-07-23,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,ND
2024-07-24,2024-07-24,Camps Bay In front of Lifesaving Tower,ICS12,NA,12
2024-07-26,2024-07-26,Camps Bay In front of Lifesaving Tower,ICS12,NA,14
2024-07-26,2024-07-26,Camps Bay In front of Lifesaving Tower,ICS12,10:50:00,50
2024-07-29,2024-07-29,Camps Bay In front of Lifesaving Tower,ICS12,NA,10
2024-07-30,2024-07-30,Camps Bay In front of Lifesaving Tower,ICS12,NA,18
2024-07-31,2024-07-31,Camps Bay In front of Lifesaving Tower,ICS12,NA,4
2024-08-01,2024-08-01,Camps Bay In front of Lifesaving Tower,ICS12,NA,3
2024-08-05,2024-08-05,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,5
2024-08-06,2024-08-06,Camps Bay In front of Lifesaving Tower,ICS12,NA,21
2024-08-08,2024-08-08,Camps Bay In front of Lifesaving Tower,ICS12,10:19:00,22
2024-08-12,2024-08-12,Camps Bay In front of Lifesaving Tower,ICS12,11:00:00,56
2024-08-13,2024-08-14,Camps Bay In front of Lifesaving Tower,ICS12,NA,21
2024-08-14,2024-08-14,Camps Bay In front of Lifesaving Tower,ICS12,09:40:00,15
2024-08-14,2024-08-14,Camps Bay In front of Lifesaving Tower,ICS12,11:30:00,31
2024-08-15,2024-08-16,Camps Bay In front of Lifesaving Tower,ICS12,10:00:00,11
2024-08-16,2024-08-16,Camps Bay In front of Lifesaving Tower,ICS12,NA,2
2024-08-20,2024-08-20,Camps Bay In front of Lifesaving Tower,ICS12,10:00:00,ND
2024-08-20,2024-08-20,Strandfontein Point East of Tidal Pool,ICS12,10:00:00,ND
2024-08-20,2024-08-20,Camps Bay Central,CN41,10:12:00,ND
2024-08-20,2024-08-20,Glen Beach,CN31,10:05:00,ND
2024-08-20,2024-08-20,Saunders Rocks,ICS14,10:25:00,ND
2024-08-20,2024-08-20,Mouille Point,CN04,10:53:00,ND
2024-08-21,2024-08-22,Camps Bay In front of Lifesaving Tower,ICS12,11:27:00,ND
2024-08-21,2024-08-22,Camps Bay Central,CN41,12:23:00,ND
2024-08-21,2024-08-22,Glen Beach,CN31,11:09:00,ND
2024-08-21,2024-08-22,Mouille Point,CN04,11:00:00,ND
2024-08-23,2024-08-23,Camps Bay In front of Lifesaving Tower,ICS12,10:52:00,ND
2024-08-23,2024-08-23,Camps Bay Central,CN41,10:58:00,ND
2024-08-23,2024-08-23,Glen Beach,CN31,11:05:00,ND
2024-08-23,2024-08-23,Saunders Rocks,ICS14,11:19:00,390
2024-08-23,2024-08-23,Mouille Point,CN04,11:42:00,18
2024-08-26,2024-08-27,Camps Bay In front of Lifesaving Tower,ICS12,NA,ND
2024-08-26,2024-08-27,Camps Bay Central,CN41,NA,ND
2024-08-26,2024-08-27,Glen Beach,CN31,NA,ND
2024-08-27,2024-08-27,Camps Bay In front of Lifesaving Tower,ICS12,NA,16
2024-08-27,2024-08-27,Camps Bay Central,CN41,NA,9
2024-08-27,2024-08-27,Glen Beach,CN31,NA,ND
2024-08-27,2024-08-27,Saunders Rocks,ICS14,NA,75
2024-08-27,2024-08-27,Camps Bay In front of Lifesaving Tower,ICS12,09:28:00,8
2024-08-28,2024-08-28,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,ND
2024-08-28,2024-08-28,Camps Bay Central,CN41,11:00:00,ND
2024-08-28,2024-08-28,Glen Beach,CN31,11:10:00,ND
2024-08-29,2024-08-29,Camps Bay In front of Lifesaving Tower,ICS12,10:45:00,ND
2024-08-29,2024-08-29,Camps Bay Central,CN41,10:50:00,ND
2024-08-29,2024-08-29,Glen Beach,CN31,11:00:00,ND
2024-08-30,2024-08-30,Camps Bay In front of Lifesaving Tower,ICS12,10:15:00,ND
2024-08-30,2024-08-30,Camps Bay Central,CN41,10:25:00,ND
2024-08-30,2024-08-30,Glen Beach,CN31,10:45:00,ND
2024-08-30,2024-08-30,Mouille Point,CN04,11:10:00,ND
2024-08-30,2024-08-30,Mouille Point,CN04,10:15:00,ND
2024-09-02,2024-09-02,Camps Bay In front of Lifesaving Tower,ICS12,10:25:00,ND
2024-09-02,2024-09-02,Camps Bay Central,CN41,10:30:00,ND
2024-09-02,2024-09-02,Glen Beach,CN31,11:00:00,ND
2024-09-02,2024-09-02,Mouille Point,CN04,11:25:00,ND
2024-09-03,2024-09-03,Camps Bay In front of Lifesaving Tower,ICS12,13:50:00,ND
2024-09-03,2024-09-03,Camps Bay Central,CN41,13:55:00,ND
2024-09-03,2024-09-03,Glen Beach,CN31,14:08:00,ND
2024-09-03,2024-09-03,Mouille Point,CN04,14:40:00,ND
2024-09-04,2024-09-05,Camps Bay In front of Lifesaving Tower,ICS12,12:25:00,ND
2024-09-04,2024-09-05,Camps Bay Central,CN41,12:34:00,ND
2024-09-04,2024-09-05,Glen Beach,CN31,12:52:00,ND
2024-09-04,2024-09-05,Mouille Point,CN04,13:32:00,ND
2024-09-04,2024-09-04,Camps Bay In front of Lifesaving Tower,ICS12,08:44:00,ND
2024-09-05,2024-09-05,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,ND
2024-09-05,2024-09-05,Camps Bay Central,CN41,10:35:00,ND
2024-09-05,2024-09-05,Glen Beach,CN31,10:50:00,4
2024-09-05,2024-09-05,Mouille Point,CN04,11:20:00,2
2024-09-06,2024-09-06,Camps Bay In front of Lifesaving Tower,ICS12,10:06:00,ND
2024-09-06,2024-09-06,Camps Bay Central,CN41,10:12:00,ND
2024-09-06,2024-09-06,Glen Beach,CN31,10:25:00,ND
2024-09-06,2024-09-06,Mouille Point,CN04,11:00:00,ND
2024-09-09,2024-09-09,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,3
2024-09-09,2024-09-09,Camps Bay Central,CN41,10:35:00,ND
2024-09-09,2024-09-09,Glen Beach,CN31,10:55:00,ND
2024-09-09,2024-09-09,Mouille Point,CN04,11:20:00,ND
2024-09-10,2024-09-10,Camps Bay In front of Lifesaving Tower,ICS12,11:58:00,ND
2024-09-10,2024-09-10,Camps Bay Central,CN41,11:53:00,ND
2024-09-10,2024-09-10,Glen Beach,CN31,11:40:00,ND
2024-09-10,2024-09-10,Mouille Point,CN04,11:12:00,ND
2024-09-10,2024-09-10,Camps Bay In front of Lifesaving Tower,ICS12,10:37:00,ND
2024-09-11,2024-09-11,Camps Bay In front of Lifesaving Tower,ICS12,10:50:00,ND
2024-09-11,2024-09-11,Camps Bay Central,CN41,10:55:00,ND
2024-09-11,2024-09-11,Glen Beach,CN31,11:15:00,>150
2024-09-11,2024-09-11,Mouille Point,CN04,11:45:00,>150
2024-09-12,2024-09-12,Camps Bay In front of Lifesaving Tower,ICS12,10:10:00,ND
2024-09-12,2024-09-12,Camps Bay Central,CN41,10:17:00,ND
2024-09-12,2024-09-12,Glen Beach,CN31,10:30:00,ND
2024-09-12,2024-09-12,Mouille Point,CN04,11:00:00,ND
2024-09-13,2024-09-13,Camps Bay In front of Lifesaving Tower,ICS12,10:45:00,ND
2024-09-13,2024-09-13,Camps Bay Central,CN41,10:50:00,ND
2024-09-13,2024-09-13,Glen Beach,CN31,11:00:00,ND
2024-09-13,2024-09-13,Mouille Point,CN04,11:45:00,ND
2024-09-16,2024-09-16,Camps Bay In front of Lifesaving Tower,ICS12,11:30:00,ND
2024-09-16,2024-09-16,Camps Bay Central,CN41,11:45:00,ND
2024-09-16,2024-09-16,Glen Beach,CN31,12:35:00,ND
2024-09-16,2024-09-16,Mouille Point,CN04,12:55:00,ND
2024-09-17,2024-09-17,Camps Bay In front of Lifesaving Tower,ICS12,11:45:00,ND
2024-09-17,2024-09-17,Camps Bay Central,CN41,11:50:00,5
2024-09-17,2024-09-17,Glen Beach,CN31,12:05:00,9
2024-09-17,2024-09-17,Mouille Point,CN04,12:30:00,65
2024-09-17,2024-09-17,Camps Bay In front of Lifesaving Tower,ICS12,08:45:00,12
2024-09-19,2024-09-19,Camps Bay In front of Lifesaving Tower,ICS12,NA,ND
2024-09-19,2024-09-19,Camps Bay Central,CN41,NA,ND
2024-09-19,2024-09-19,Glen Beach,CN31,NA,ND
2024-09-19,2024-09-19,Mouille Point,CN04,NA,ND
2024-09-20,2024-09-20,Camps Bay In front of Lifesaving Tower,ICS12,NA,ND
2024-09-20,2024-09-20,Camps Bay Central,CN41,NA,ND
2024-09-20,2024-09-20,Glen Beach,CN31,NA,ND
2024-09-20,2024-09-20,Mouille Point,CN04,NA,ND
2024-09-23,2024-09-23,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,38
2024-09-23,2024-09-23,Camps Bay Central,CN41,11:45:00,ND
2024-09-23,2024-09-23,Glen Beach,CN31,11:00:00,ND
2024-09-23,2024-09-23,Mouille Point,CN04,11:30:00,97
2024-09-26,2024-09-26,Camps Bay In front of Lifesaving Tower,ICS12,10:18:00,3
2024-09-26,2024-09-26,Camps Bay Central,CN41,10:12:00,2
2024-09-26,2024-09-26,Glen Beach,CN31,10:24:00,1
2024-09-26,2024-09-26,Mouille Point,CN04,10:48:00,64
2024-09-27,2024-09-27,Camps Bay In front of Lifesaving Tower,ICS12,07:44:00,ND
2024-09-27,2024-09-27,Camps Bay In front of Lifesaving Tower,ICS12,10:15:00,2
2024-09-27,2024-09-27,Camps Bay Central,CN41,10:20:00,ND
2024-09-27,2024-09-27,Glen Beach,CN31,10:45:00,ND
2024-09-27,2024-09-27,Mouille Point,CN04,11:05:00,>150
2024-09-30,2024-09-30,Camps Bay In front of Lifesaving Tower,ICS12,11:34:00,ND
2024-09-30,2024-09-30,Camps Bay Central,CN41,11:38:00,ND
2024-09-30,2024-09-30,Glen Beach,CN31,11:47:00,ND
2024-09-30,2024-09-30,Mouille Point,CN04,12:10:00,47
2024-10-03,2024-10-03,Camps Bay In front of Lifesaving Tower,ICS12,12:45:00,1
2024-10-03,2024-10-03,Camps Bay Central,CN41,13:00:00,8
2024-10-03,2024-10-03,Glen Beach,CN31,13:15:00,1
2024-10-03,2024-10-03,Mouille Point,CN04,13:37:00,ND
2024-10-04,2024-10-04,Camps Bay In front of Lifesaving Tower,ICS12,12:13:00,1
2024-10-04,2024-10-04,Camps Bay Central,CN41,12:20:00,ND
2024-10-04,2024-10-04,Glen Beach,CN31,12:26:00,ND
2024-10-04,2024-10-04,Mouille Point,CN04,12:50:00,141
